Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
614,5 of Diamonds,6 of Diamonds,5 of Hearts,2 of Diamonds,K of Diamonds,A of Diamonds,2 of Spades,4 of Spades,J of Hearts,7 of Clubs,8 of Spades,K of Hearts,10 of Hearts,J of Diamonds,J of Spades
615,7 of Clubs,7 of Spades,9 of Spades,5 of Diamonds,2 of Hearts,8 of Clubs,J of Spades,7 of Hearts,Q of Clubs,9 of Diamonds,2 of Spades,A of Diamonds,8 of Diamonds,Q of Hearts,Q of Diamonds
616,2 of Spades,A of Diamonds,3 of Clubs,9 of Spades,J of Hearts,10 of Hearts,J of Diamonds,Q of Diamonds,6 of Clubs,5 of Clubs,10 of Diamonds,4 of Diamonds,3 of Spades,6 of Hearts,4 of Spades
617,3 of Hearts,6 of Spades,7 of Clubs,7 of Diamonds,6 of Diamonds,8 of Clubs,9 of Hearts,9 of Spades,9 of Diamonds,10 of Clubs,10 of Diamonds,2 of Diamonds,7 of Spades,8 of Spades,8 of Diamonds
618,Q of Hearts,Q of Spades,9 of Diamonds,K of Spades,J of Clubs,K of Diamonds,4 of Diamonds,A of Clubs,5 of Spades,A of Hearts,J of Spades,3 of Diamonds,K of Hearts,8 of Hearts,4 of Clubs
619,6 of Clubs,2 of Clubs,3 of Clubs,J of Diamonds,10 of Diamonds,K of Diamonds,4 of Spades,5 of Diamonds,5 of Spades,10 of Spades,8 of Hearts,A of Clubs,3 of Spades,6 of Spades,K of Clubs
620,9 of Clubs,4 of Clubs,K of Clubs,A of Hearts,3 of Diamonds,J of Diamonds,4 of Hearts,9 of Hearts,Q of Hearts,Q of Spades,A of Spades,2 of Diamonds,10 of Spades,2 of Hearts,J of Clubs
621,3 of Hearts,7 of Diamonds,J of Hearts,3 of Diamonds,A of Diamonds,10 of Spades,A of Hearts,6 of Diamonds,10 of Diamonds,9 of Clubs,10 of Hearts,K of Hearts,4 of Spades,7 of Hearts,10 of Clubs
622,A of Clubs,10 of Clubs,5 of Diamonds,K of Clubs,7 of Spades,10 of Hearts,2 of Clubs,6 of Hearts,10 of Spades,3 of Spades,A of Spades,J of Diamonds,A of Diamonds,3 of Clubs,6 of Clubs
623,9 of Hearts,3 of Spades,6 of Diamonds,10 of Diamonds,J of Diamonds,2 of Clubs,3 of Hearts,4 of Clubs,A of Spades,A of Hearts,J of Spades,3 of Clubs,Q of Clubs,6 of Clubs,J of Hearts
624,7 of Clubs,K of Hearts,7 of Hearts,5 of Diamonds,J of Hearts,J of Spades,9 of Hearts,A of Diamonds,5 of Clubs,7 of Diamonds,9 of Diamonds,4 of Spades,7 of Spades,Q of Hearts,6 of Diamonds
625,9 of Spades,A of Clubs,J of Clubs,J of Diamonds,4 of Hearts,Q of Clubs,9 of Clubs,10 of Hearts,3 of Diamonds,7 of Hearts,K of Clubs,6 of Diamonds,10 of Spades,4 of Spades,A of Diamonds
626,8 of Spades,3 of Hearts,J of Spades,9 of Hearts,4 of Diamonds,5 of Hearts,9 of Diamonds,J of Clubs,6 of Spades,7 of Spades,7 of Clubs,3 of Spades,6 of Diamonds,7 of Diamonds,2 of Clubs
627,K of Hearts,4 of Hearts,7 of Hearts,10 of Spades,6 of Clubs,5 of Clubs,3 of Spades,Q of Diamonds,J of Spades,6 of Diamonds,8 of Hearts,7 of Clubs,K of Clubs,4 of Diamonds,K of Diamonds
628,10 of Spades,A of Spades,K of Diamonds,J of Clubs,8 of Spades,K of Clubs,5 of Diamonds,6 of Diamonds,J of Spades,9 of Clubs,5 of Clubs,4 of Clubs,2 of Clubs,6 of Clubs,Q of Hearts
629,Q of Diamonds,5 of Diamonds,Q of Hearts,A of Spades,K of Spades,6 of Spades,9 of Diamonds,3 of Spades,9 of Hearts,K of Diamonds,Q of Clubs,7 of Spades,5 of Hearts,A of Diamonds,7 of Hearts
630,6 of Spades,8 of Diamonds,Q of Diamonds,4 of Spades,7 of Spades,Q of Spades,3 of Diamonds,J of Clubs,A of Spades,A of Hearts,3 of Clubs,8 of Clubs,9 of Hearts,3 of Hearts,5 of Spades
631,J of Clubs,K of Spades,8 of Spades,Q of Hearts,10 of Hearts,3 of Spades,10 of Spades,3 of Clubs,K of Clubs,9 of Hearts,6 of Hearts,J of Hearts,4 of Clubs,J of Spades,5 of Hearts
632,10 of Diamonds,8 of Spades,7 of Diamonds,A of Hearts,3 of Spades,A of Diamonds,10 of Clubs,8 of Diamonds,Q of Diamonds,2 of Spades,A of Clubs,K of Spades,6 of Diamonds,4 of Hearts,Q of Spades
633,A of Hearts,2 of Diamonds,4 of Diamonds,4 of Hearts,4 of Clubs,5 of Diamonds,7 of Clubs,J of Spades,5 of Spades,J of Diamonds,9 of Clubs,10 of Spades,A of Spades,7 of Hearts,K of Diamonds
634,7 of Hearts,Q of Hearts,5 of Diamonds,2 of Hearts,2 of Clubs,5 of Clubs,10 of Clubs,10 of Spades,2 of Spades,6 of Hearts,J of Clubs,7 of Clubs,3 of Hearts,J of Hearts,3 of Diamonds
635,Q of Spades,K of Spades,9 of Spades,K of Diamonds,2 of Hearts,J of Clubs,8 of Clubs,10 of Diamonds,7 of Diamonds,Q of Diamonds,4 of Clubs,3 of Hearts,4 of Hearts,A of Spades,J of Hearts
636,4 of Hearts,8 of Diamonds,Q of Spades,3 of Spades,K of Hearts,Q of Hearts,A of Spades,7 of Diamonds,7 of Clubs,Q of Diamonds,5 of Diamonds,K of Spades,7 of Spades,Q of Clubs,A of Diamonds
637,8 of Hearts,10 of Spades,4 of Diamonds,J of Hearts,5 of Diamonds,10 of Clubs,K of Clubs,5 of Hearts,6 of Clubs,6 of Spades,K of Spades,Q of Clubs,9 of Clubs,10 of Hearts,Q of Diamonds
638,J of Clubs,4 of Hearts,7 of Hearts,A of Clubs,4 of Clubs,2 of Hearts,J of Diamonds,2 of Spades,9 of Hearts,9 of Spades,A of Diamonds,4 of Diamonds,8 of Hearts,K of Clubs,2 of Clubs
639,6 of Hearts,4 of Spades,10 of Diamonds,K of Clubs,A of Hearts,J of Hearts,10 of Hearts,3 of Spades,4 of Hearts,K of Hearts,9 of Hearts,6 of Diamonds,10 of Clubs,4 of Clubs,2 of Diamonds
640,9 of Hearts,A of Clubs,4 of Diamonds,3 of Hearts,9 of Clubs,2 of Hearts,9 of Diamonds,2 of Diamonds,7 of Diamonds,2 of Spades,6 of Diamonds,7 of Clubs,5 of Clubs,7 of Hearts,6 of Hearts
641,4 of Hearts,4 of Clubs,6 of Clubs,A of Spades,6 of Hearts,9 of Spades,3 of Hearts,8 of Hearts,J of Clubs,8 of Clubs,3 of Clubs,Q of Hearts,A of Clubs,3 of Spades,K of Hearts
642,7 of Hearts,7 of Spades,5 of Spades,8 of Diamonds,3 of Clubs,J of Hearts,5 of Hearts,9 of Hearts,5 of Clubs,Q of Diamonds,5 of Diamonds,6 of Clubs,A of Clubs,2 of Spades,4 of Hearts
643,Q of Diamonds,6 of Diamonds,3 of Diamonds,4 of Diamonds,Q of Spades,5 of Spades,2 of Hearts,4 of Hearts,2 of Spades,8 of Spades,A of Clubs,7 of Hearts,9 of Spades,J of Diamonds,J of Clubs
644,Q of Hearts,3 of Hearts,2 of Diamonds,9 of Spades,J of Spades,8 of Spades,9 of Clubs,A of Spades,3 of Diamonds,2 of Spades,J of Diamonds,8 of Diamonds,7 of Clubs,J of Hearts,4 of Hearts
645,8 of Diamonds,9 of Hearts,9 of Diamonds,A of Diamonds,3 of Clubs,10 of Hearts,Q of Clubs,9 of Spades,5 of Diamonds,K of Clubs,8 of Clubs,4 of Hearts,7 of Diamonds,3 of Diamonds,6 of Spades
646,J of Clubs,6 of Spades,7 of Spades,5 of Hearts,Q of Spades,3 of Diamonds,2 of Diamonds,5 of Spades,2 of Hearts,4 of Clubs,Q of Clubs,A of Spades,J of Hearts,K of Hearts,8 of Clubs
647,7 of Diamonds,6 of Diamonds,2 of Diamonds,3 of Diamonds,8 of Clubs,K of Spades,7 of Hearts,7 of Clubs,8 of Diamonds,K of Diamonds,2 of Hearts,2 of Spades,4 of Spades,5 of Spades,10 of Diamonds
648,7 of Clubs,3 of Diamonds,9 of Clubs,2 of Diamonds,9 of Hearts,J of Diamonds,Q of Diamonds,7 of Hearts,7 of Spades,A of Spades,J of Hearts,4 of Spades,6 of Hearts,6 of Spades,3 of Hearts
649,A of Diamonds,9 of Hearts,7 of Diamonds,Q of Spades,2 of Diamonds,K of Hearts,10 of Hearts,5 of Spades,9 of Spades,3 of Hearts,10 of Spades,A of Hearts,9 of Clubs,5 of Clubs,4 of Diamonds
650,5 of Spades,K of Diamonds,3 of Hearts,6 of Clubs,2 of Hearts,9 of Spades,10 of Hearts,Q of Clubs,A of Diamonds,10 of Diamonds,4 of Spades,2 of Diamonds,8 of Diamonds,5 of Diamonds,5 of Hearts
651,K of Hearts,Q of Spades,Q of Diamonds,A of Spades,K of Spades,10 of Clubs,3 of Hearts,2 of Hearts,J of Diamonds,K of Diamonds,J of Spades,Q of Clubs,A of Clubs,2 of Clubs,9 of Diamonds
652,2 of Hearts,2 of Clubs,7 of Hearts,Q of Diamonds,J of Clubs,2 of Spades,5 of Hearts,6 of Hearts,5 of Spades,10 of Hearts,10 of Diamonds,8 of Spades,J of Spades,3 of Diamonds,6 of Clubs
653,9 of Clubs,4 of Diamonds,2 of Diamonds,Q of Diamonds,9 of Diamonds,6 of Clubs,10 of Hearts,2 of Hearts,6 of Spades,4 of Spades,5 of Spades,J of Hearts,J of Spades,8 of Diamonds,3 of Hearts
654,K of Diamonds,2 of Diamonds,9 of Spades,7 of Hearts,10 of Spades,3 of Clubs,K of Spades,3 of Spades,J of Hearts,Q of Spades,5 of Spades,9 of Diamonds,Q of Clubs,4 of Diamonds,Q of Diamonds
655,J of Hearts,6 of Diamonds,A of Diamonds,8 of Hearts,5 of Hearts,9 of Diamonds,10 of Diamonds,4 of Diamonds,6 of Spades,9 of Clubs,7 of Diamonds,Q of Hearts,5 of Diamonds,K of Clubs,Q of Clubs
656,K of Hearts,6 of Spades,7 of Spades,2 of Spades,7 of Hearts,3 of Clubs,Q of Diamonds,4 of Hearts,7 of Diamonds,8 of Hearts,3 of Hearts,6 of Hearts,Q of Hearts,5 of Clubs,4 of Clubs
657,A of Spades,9 of Hearts,4 of Diamonds,6 of Diamonds,K of Spades,Q of Hearts,3 of Hearts,6 of Hearts,4 of Spades,10 of Diamonds,4 of Clubs,J of Spades,A of Diamonds,8 of Diamonds,2 of Clubs
658,A of Clubs,K of Diamonds,J of Clubs,10 of Hearts,9 of Clubs,5 of Spades,Q of Spades,2 of Diamonds,3 of Clubs,4 of Clubs,4 of Spades,4 of Hearts,7 of Spades,5 of Diamonds,J of Spades
659,8 of Spades,K of Clubs,J of Hearts,2 of Clubs,A of Clubs,A of Spades,9 of Spades,7 of Hearts,5 of Hearts,4 of Diamonds,4 of Clubs,5 of Clubs,10 of Hearts,6 of Clubs,3 of Spades
660,6 of Spades,6 of Clubs,A of Hearts,Q of Clubs,9 of Clubs,7 of Spades,K of Diamonds,2 of Hearts,3 of Hearts,A of Clubs,8 of Diamonds,3 of Clubs,8 of Hearts,9 of Diamonds,4 of Spades
661,7 of Hearts,6 of Clubs,8 of Clubs,10 of Clubs,Q of Diamonds,9 of Clubs,5 of Clubs,4 of Hearts,3 of Clubs,5 of Spades,3 of Spades,8 of Spades,Q of Hearts,J of Diamonds,J of Spades
662,3 of Clubs,9 of Diamonds,6 of Hearts,J of Spades,A of Diamonds,2 of Spades,10 of Spades,Q of Diamonds,4 of Diamonds,3 of Hearts,7 of Hearts,K of Hearts,4 of Hearts,A of Hearts,2 of Hearts
663,Q of Diamonds,8 of Clubs,6 of Hearts,Q of Spades,K of Clubs,7 of Clubs,A of Hearts,5 of Spades,6 of Spades,10 of Clubs,K of Diamonds,9 of Diamonds,8 of Spades,8 of Diamonds,5 of Hearts
664,4 of Hearts,9 of Hearts,7 of Diamonds,6 of Diamonds,Q of Clubs,10 of Hearts,K of Spades,10 of Clubs,2 of Clubs,8 of Diamonds,Q of Spades,5 of Diamonds,7 of Spades,3 of Clubs,8 of Clubs
665,9 of Hearts,4 of Hearts,5 of Clubs,K of Hearts,9 of Spades,J of Diamonds,Q of Clubs,6 of Diamonds,8 of Hearts,4 of Spades,7 of Hearts,3 of Spades,J of Clubs,2 of Diamonds,2 of Hearts
666,2 of Hearts,J of Spades,K of Hearts,8 of Diamonds,10 of Diamonds,4 of Diamonds,6 of Spades,9 of Clubs,K of Diamonds,5 of Diamonds,7 of Spades,10 of Clubs,6 of Diamonds,4 of Spades,A of Diamonds
667,4 of Hearts,3 of Spades,8 of Spades,Q of Spades,K of Diamonds,3 of Hearts,2 of Clubs,2 of Spades,3 of Diamonds,3 of Clubs,K of Spades,10 of Hearts,K of Clubs,4 of Spades,6 of Diamonds
668,6 of Clubs,9 of Spades,7 of Spades,J of Clubs,A of Spades,10 of Clubs,6 of Hearts,A of Hearts,8 of Diamonds,2 of Clubs,J of Spades,8 of Hearts,10 of Spades,Q of Diamonds,4 of Diamonds
669,7 of Hearts,7 of Clubs,4 of Hearts,3 of Hearts,3 of Clubs,J of Spades,4 of Spades,6 of Clubs,2 of Diamonds,10 of Spades,K of Spades,2 of Clubs,Q of Hearts,4 of Clubs,7 of Spades
670,4 of Hearts,8 of Clubs,2 of Hearts,9 of Spades,6 of Clubs,10 of Diamonds,5 of Clubs,2 of Clubs,5 of Diamonds,K of Spades,2 of Spades,10 of Spades,A of Diamonds,7 of Diamonds,Q of Spades
671,6 of Diamonds,10 of Clubs,K of Hearts,A of Clubs,5 of Diamonds,5 of Clubs,Q of Spades,Q of Hearts,A of Diamonds,3 of Spades,J of Spades,3 of Hearts,8 of Diamonds,A of Hearts,8 of Hearts
672,5 of Diamonds,J of Diamonds,9 of Spades,4 of Spades,3 of Clubs,8 of Diamonds,K of Diamonds,J of Spades,3 of Spades,5 of Spades,3 of Hearts,7 of Spades,A of Diamonds,2 of Spades,Q of Hearts
673,7 of Spades,4 of Clubs,A of Hearts,K of Hearts,5 of Diamonds,9 of Spades,7 of Clubs,A of Spades,8 of Hearts,9 of Hearts,6 of Spades,10 of Hearts,8 of Spades,10 of Spades,6 of Clubs
674,9 of Clubs,J of Clubs,10 of Diamonds,3 of Spades,9 of Spades,5 of Hearts,8 of Hearts,6 of Clubs,10 of Hearts,4 of Spades,A of Diamonds,2 of Hearts,K of Clubs,8 of Diamonds,3 of Hearts
675,8 of Clubs,3 of Clubs,7 of Spades,3 of Hearts,5 of Spades,Q of Spades,4 of Spades,Q of Clubs,10 of Diamonds,Q of Diamonds,7 of Hearts,10 of Clubs,J of Spades,A of Diamonds,J of Clubs
676,2 of Hearts,8 of Hearts,9 of Clubs,6 of Hearts,A of Diamonds,J of Diamonds,2 of Diamonds,3 of Diamonds,7 of Clubs,8 of Diamonds,6 of Diamonds,J of Spades,Q of Spades,4 of Clubs,K of Hearts
677,10 of Spades,J of Hearts,10 of Hearts,A of Spades,K of Diamonds,6 of Diamonds,7 of Diamonds,Q of Clubs,9 of Clubs,8 of Hearts,7 of Clubs,9 of Hearts,J of Diamonds,Q of Diamonds,2 of Spades
678,4 of Hearts,K of Hearts,7 of Hearts,Q of Hearts,A of Diamonds,7 of Clubs,6 of Spades,10 of Hearts,9 of Clubs,4 of Clubs,8 of Clubs,4 of Diamonds,2 of Clubs,A of Clubs,6 of Hearts
679,2 of Clubs,10 of Clubs,3 of Spades,2 of Hearts,7 of Spades,Q of Clubs,4 of Clubs,Q of Diamonds,8 of Hearts,5 of Hearts,2 of Diamonds,5 of Spades,K of Spades,6 of Hearts,9 of Spades
680,8 of Diamonds,8 of Spades,10 of Hearts,6 of Hearts,7 of Diamonds,J of Clubs,8 of Hearts,3 of Clubs,10 of Spades,7 of Hearts,5 of Clubs,3 of Diamonds,Q of Hearts,K of Spades,A of Clubs
681,3 of Diamonds,4 of Spades,10 of Diamonds,9 of Spades,5 of Clubs,2 of Clubs,4 of Clubs,7 of Diamonds,7 of Spades,2 of Hearts,K of Hearts,5 of Spades,5 of Hearts,9 of Clubs,A of Spades
682,K of Clubs,4 of Hearts,8 of Diamonds,K of Hearts,3 of Spades,6 of Diamonds,6 of Hearts,10 of Hearts,10 of Clubs,A of Diamonds,Q of Diamonds,6 of Clubs,2 of Clubs,Q of Clubs,K of Spades
683,5 of Diamonds,5 of Clubs,3 of Hearts,J of Clubs,3 of Spades,6 of Diamonds,10 of Spades,10 of Clubs,K of Spades,7 of Clubs,9 of Spades,2 of Hearts,8 of Diamonds,4 of Clubs,K of Diamonds
684,10 of Hearts,2 of Clubs,6 of Clubs,K of Clubs,9 of Spades,7 of Hearts,10 of Clubs,A of Clubs,5 of Clubs,4 of Hearts,8 of Spades,J of Clubs,9 of Clubs,6 of Hearts,2 of Hearts
685,7 of Hearts,2 of Diamonds,Q of Hearts,2 of Spades,4 of Diamonds,8 of Clubs,A of Clubs,6 of Diamonds,3 of Diamonds,6 of Hearts,10 of Spades,J of Hearts,10 of Hearts,10 of Diamonds,10 of Clubs
686,J of Hearts,9 of Clubs,2 of Spades,3 of Spades,5 of Diamonds,A of Hearts,Q of Spades,4 of Spades,A of Clubs,7 of Spades,2 of Clubs,10 of Diamonds,7 of Hearts,9 of Diamonds,K of Diamonds
687,4 of Diamonds,10 of Spades,10 of Hearts,3 of Clubs,5 of Hearts,10 of Clubs,7 of Diamonds,3 of Spades,8 of Spades,4 of Hearts,3 of Hearts,7 of Spades,10 of Diamonds,J of Spades,6 of Hearts
688,7 of Hearts,A of Spades,5 of Clubs,10 of Diamonds,J of Hearts,5 of Diamonds,8 of Hearts,K of Hearts,8 of Clubs,8 of Diamonds,10 of Clubs,J of Diamonds,4 of Clubs,9 of Clubs,3 of Diamonds
689,8 of Hearts,3 of Hearts,7 of Clubs,10 of Diamonds,4 of Diamonds,A of Hearts,6 of Clubs,Q of Diamonds,Q of Hearts,8 of Spades,K of Spades,6 of Diamonds,J of Diamonds,7 of Hearts,2 of Clubs
690,7 of Diamonds,Q of Spades,J of Spades,4 of Clubs,8 of Hearts,J of Hearts,2 of Clubs,6 of Hearts,K of Spades,A of Spades,K of Diamonds,9 of Diamonds,A of Clubs,J of Clubs,6 of Spades
691,8 of Diamonds,10 of Diamonds,Q of Spades,Q of Hearts,Q of Diamonds,A of Hearts,4 of Diamonds,8 of Spades,5 of Spades,K of Hearts,9 of Hearts,J of Diamonds,K of Spades,4 of Spades,6 of Hearts
692,A of Clubs,8 of Clubs,A of Diamonds,6 of Clubs,7 of Diamonds,4 of Clubs,A of Spades,3 of Clubs,5 of Spades,4 of Diamonds,J of Spades,Q of Clubs,9 of Hearts,K of Clubs,2 of Clubs
693,4 of Clubs,A of Hearts,9 of Hearts,7 of Spades,3 of Diamonds,9 of Diamonds,5 of Hearts,Q of Hearts,J of Clubs,K of Diamonds,5 of Spades,4 of Diamonds,8 of Spades,2 of Hearts,6 of Clubs
694,7 of Spades,7 of Hearts,5 of Hearts,Q of Clubs,6 of Clubs,10 of Spades,4 of Hearts,K of Spades,Q of Diamonds,A of Clubs,J of Diamonds,4 of Spades,2 of Spades,8 of Hearts,5 of Diamonds
695,2 of Hearts,8 of Hearts,J of Spades,7 of Clubs,A of Hearts,3 of Spades,Q of Clubs,A of Spades,8 of Diamonds,K of Hearts,5 of Diamonds,K of Spades,Q of Diamonds,9 of Hearts,J of Hearts
696,6 of Spades,9 of Spades,K of Clubs,6 of Hearts,J of Hearts,A of Spades,Q of Spades,8 of Clubs,8 of Diamonds,J of Diamonds,4 of Clubs,3 of Clubs,5 of Diamonds,5 of Clubs,2 of Spades
697,4 of Spades,A of Clubs,8 of Hearts,K of Clubs,5 of Hearts,8 of Clubs,2 of Spades,K of Spades,3 of Diamonds,9 of Hearts,K of Diamonds,5 of Spades,6 of Hearts,3 of Clubs,J of Clubs
698,6 of Spades,10 of Hearts,5 of Hearts,4 of Spades,9 of Spades,K of Clubs,Q of Diamonds,A of Diamonds,3 of Hearts,8 of Clubs,6 of Diamonds,K of Hearts,4 of Diamonds,J of Clubs,3 of Clubs
699,2 of Clubs,2 of Hearts,4 of Diamonds,6 of Diamonds,J of Hearts,5 of Hearts,A of Spades,K of Diamonds,3 of Diamonds,9 of Spades,10 of Spades,Q of Diamonds,8 of Hearts,8 of Diamonds,10 of Diamonds
700,7 of Hearts,9 of Spades,4 of Spades,K of Hearts,A of Diamonds,9 of Diamonds,3 of Spades,4 of Clubs,3 of Clubs,7 of Diamonds,J of Hearts,3 of Hearts,K of Diamonds,K of Clubs,Q of Clubs
701,6 of Hearts,J of Spades,8 of Clubs,2 of Clubs,K of Diamonds,3 of Spades,6 of Spades,9 of Hearts,K of Hearts,2 of Diamonds,2 of Hearts,6 of Diamonds,5 of Diamonds,Q of Clubs,7 of Clubs
702,4 of Diamonds,7 of Clubs,8 of Clubs,K of Hearts,Q of Diamonds,2 of Diamonds,10 of Spades,3 of Clubs,9 of Diamonds,J of Clubs,2 of Spades,A of Diamonds,7 of Hearts,K of Clubs,3 of Spades
703,6 of Spades,J of Diamonds,2 of Hearts,10 of Spades,A of Diamonds,8 of Clubs,5 of Spades,10 of Hearts,7 of Diamonds,7 of Spades,A of Clubs,K of Clubs,2 of Clubs,4 of Clubs,5 of Diamonds
704,10 of Hearts,Q of Clubs,6 of Spades,4 of Clubs,10 of Diamonds,4 of Hearts,6 of Clubs,4 of Diamonds,J of Hearts,5 of Clubs,J of Spades,K of Diamonds,8 of Hearts,3 of Clubs,4 of Spades
705,4 of Spades,J of Clubs,A of Hearts,3 of Clubs,10 of Clubs,2 of Spades,8 of Hearts,7 of Spades,3 of Spades,2 of Diamonds,6 of Spades,5 of Diamonds,10 of Diamonds,6 of Hearts,7 of Diamonds
706,8 of Spades,3 of Clubs,5 of Spades,7 of Spades,4 of Clubs,9 of Hearts,10 of Diamonds,4 of Hearts,4 of Diamonds,9 of Clubs,Q of Spades,6 of Hearts,A of Spades,6 of Diamonds,A of Hearts
707,3 of Clubs,3 of Spades,K of Diamonds,5 of Clubs,6 of Clubs,K of Clubs,7 of Hearts,9 of Hearts,3 of Diamonds,9 of Diamonds,8 of Clubs,J of Diamonds,K of Hearts,Q of Hearts,3 of Hearts
708,2 of Spades,3 of Hearts,7 of Hearts,9 of Spades,9 of Hearts,K of Spades,Q of Spades,3 of Spades,10 of Clubs,A of Spades,Q of Hearts,A of Diamonds,5 of Diamonds,4 of Clubs,7 of Clubs
709,Q of Hearts,A of Hearts,4 of Diamonds,6 of Spades,5 of Diamonds,9 of Hearts,K of Diamonds,9 of Clubs,4 of Hearts,J of Diamonds,2 of Spades,5 of Hearts,4 of Clubs,Q of Diamonds,9 of Spades
710,Q of Hearts,5 of Diamonds,8 of Clubs,9 of Diamonds,7 of Spades,7 of Hearts,10 of Hearts,2 of Clubs,6 of Diamonds,3 of Hearts,A of Hearts,K of Clubs,2 of Spades,2 of Diamonds,5 of Spades
711,8 of Spades,2 of Spades,6 of Clubs,8 of Hearts,4 of Hearts,6 of Diamonds,K of Diamonds,J of Clubs,7 of Clubs,Q of Clubs,3 of Spades,10 of Clubs,5 of Spades,3 of Diamonds,K of Hearts
712,5 of Hearts,7 of Spades,7 of Clubs,8 of Diamonds,5 of Clubs,4 of Diamonds,6 of Diamonds,Q of Clubs,3 of Hearts,A of Hearts,10 of Hearts,5 of Spades,9 of Clubs,J of Diamonds,4 of Hearts
713,8 of Clubs,4 of Clubs,3 of Clubs,3 of Spades,5 of Clubs,Q of Spades,8 of Spades,3 of Hearts,9 of Diamonds,10 of Spades,Q of Hearts,Q of Clubs,2 of Diamonds,A of Spades,10 of Diamonds
714,3 of Clubs,7 of Diamonds,4 of Diamonds,K of Diamonds,10 of Spades,Q of Diamonds,J of Hearts,9 of Clubs,Q of Clubs,A of Diamonds,3 of Diamonds,Q of Hearts,7 of Hearts,8 of Diamonds,3 of Hearts
715,J of Hearts,9 of Clubs,2 of Hearts,6 of Diamonds,K of Hearts,3 of Clubs,7 of Hearts,8 of Hearts,5 of Hearts,A of Spades,6 of Clubs,J of Spades,9 of Spades,A of Diamonds,4 of Clubs
716,7 of Spades,A of Hearts,9 of Spades,Q of Spades,6 of Spades,6 of Hearts,8 of Clubs,5 of Hearts,7 of Diamonds,A of Diamonds,3 of Spades,8 of Spades,Q of Clubs,5 of Spades,2 of Spades
717,K of Diamonds,2 of Spades,J of Hearts,A of Spades,2 of Diamonds,9 of Hearts,4 of Hearts,4 of Clubs,J of Diamonds,5 of Diamonds,4 of Diamonds,9 of Clubs,8 of Diamonds,8 of Hearts,Q of Hearts
718,10 of Hearts,2 of Spades,Q of Hearts,6 of Diamonds,A of Clubs,5 of Diamonds,A of Spades,K of Hearts,8 of Diamonds,Q of Clubs,3 of Diamonds,10 of Diamonds,K of Diamonds,5 of Clubs,9 of Spades
719,4 of Diamonds,6 of Hearts,3 of Clubs,3 of Spades,6 of Clubs,5 of Hearts,10 of Clubs,4 of Spades,7 of Diamonds,10 of Hearts,8 of Hearts,K of Hearts,10 of Spades,J of Diamonds,J of Hearts
720,K of Diamonds,3 of Clubs,7 of Clubs,5 of Spades,3 of Hearts,4 of Clubs,7 of Hearts,A of Clubs,8 of Diamonds,7 of Spades,9 of Spades,6 of Diamonds,4 of Spades,Q of Clubs,8 of Hearts
721,J of Diamonds,10 of Clubs,K of Diamonds,3 of Diamonds,2 of Diamonds,7 of Hearts,5 of Clubs,Q of Hearts,2 of Hearts,3 of Clubs,10 of Spades,4 of Diamonds,A of Diamonds,2 of Spades,9 of Clubs
722,K of Diamonds,2 of Spades,J of Spades,J of Clubs,K of Spades,5 of Diamonds,Q of Clubs,4 of Spades,J of Diamonds,3 of Clubs,7 of Diamonds,K of Clubs,4 of Hearts,4 of Clubs,Q of Spades
723,10 of Hearts,A of Clubs,7 of Hearts,2 of Diamonds,3 of Clubs,9 of Hearts,Q of Spades,Q of Clubs,A of Diamonds,8 of Clubs,3 of Diamonds,A of Hearts,J of Hearts,J of Clubs,7 of Diamonds
724,6 of Diamonds,8 of Clubs,J of Diamonds,10 of Diamonds,Q of Spades,Q of Hearts,8 of Spades,Q of Clubs,7 of Hearts,2 of Hearts,K of Spades,6 of Clubs,5 of Hearts,5 of Diamonds,2 of Diamonds
725,3 of Diamonds,Q of Spades,9 of Diamonds,8 of Spades,8 of Clubs,6 of Clubs,5 of Diamonds,K of Spades,2 of Clubs,6 of Spades,K of Diamonds,7 of Diamonds,7 of Clubs,K of Clubs,6 of Diamonds
726,9 of Clubs,J of Hearts,3 of Spades,4 of Hearts,6 of Clubs,K of Hearts,8 of Clubs,8 of Spades,3 of Hearts,Q of Hearts,3 of Diamonds,8 of Diamonds,6 of Diamonds,7 of Clubs,A of Spades
727,9 of Hearts,4 of Hearts,A of Clubs,A of Diamonds,2 of Spades,2 of Clubs,5 of Hearts,8 of Clubs,5 of Clubs,10 of Diamonds,9 of Diamonds,3 of Clubs,4 of Clubs,5 of Diamonds,2 of Hearts
728,K of Spades,10 of Hearts,Q of Hearts,J of Hearts,5 of Spades,6 of Hearts,6 of Clubs,3 of Hearts,4 of Diamonds,J of Clubs,4 of Spades,2 of Diamonds,8 of Spades,J of Spades,8 of Clubs
729,7 of Clubs,2 of Hearts,J of Diamonds,8 of Clubs,4 of Clubs,Q of Hearts,4 of Hearts,Q of Diamonds,5 of Spades,9 of Clubs,A of Hearts,Q of Clubs,K of Diamonds,10 of Hearts,8 of Diamonds
